#	type	pattern	pilot	spec	freq	dFreq
1	T	N	rotor	4,82	848	30
2	T	N N	wind turbine	4,56	1855	37
2	V[s]	N N N	wind turbine rotor	3,38	31	12
2	V[s]	N N N	WIND TURBINE APPLICATIONS	3,83	86	3
2	V[s]	N N N	wind turbine blades	3,57	48	12
2	V[s]	A N N	offshore wind turbine	3,26	47	7
2	V[s]	N N N	wind turbine noise	3,53	43	3
2	V[s]	N N N	wind turbine concepts	3,46	37	4
2	V[s]	N N N	wind turbine generator	3,02	27	8
2	V[s]	A N N	small wind turbines	3,41	33	8
2	V[s]	N N N	MW wind turbine	2,89	10	5
2	V[s]+	N N N	wind turbine technology	3,34	28	10
2	V[s]	N N N	wind turbine system	3,40	32	7
2	V[s]	A N N	modern wind turbines	2,82	17	7
2	V[s]	N N N	wind turbine tower	3,07	15	9
2	V[s]	A N N	large wind turbines	3,12	17	10
3	T	N N	wind energy	4,51	414	32
3	V[s]	N N N	wind energy potential	3,07	15	5
3	V[s]	A N N	offshore wind energy	3,56	47	7
3	V[s]	N N N	wind energy development	3,29	25	5
3	V[s]	N N N	Wind Energy Facility	3,04	14	5
3	V[s]	N N N	wind energy projects	2,97	12	8
3	V[s]	N N N	wind energy technology	2,67	6	5
3	V[s]	N N N	wind energy research	2,67	6	5
3	V[s]	N N N	wind energy application	2,50	4	3
3	V[s]	N N N	wind energy resources	2,50	4	3
4	T	N N	wind power	4,34	278	26
4	V[s]	N N N	wind turbine power	2,89	10	6
4	V[s]	N N N	Wind Power Plant	3,76	74	9
4	V[s]	A N N	offshore wind power	3,01	13	4
4	V[s]	N N N	Wind Power Project	3,17	19	5
4	V[s]	N N N	wind power development	3,04	14	5
4	V[s]	N N N	wind power generation	2,63	11	7
4	V[s]	N N N	wind power capacity	2,67	6	3
5	T	N	airfoil	4,26	236	8
6	T	N	voltage	4,22	214	19
7	T	A	due	4,16	185	32
8	T	N N	wind speed	4,11	332	32
8	V[s]	A N N	average wind speed	3,01	26	13
8	V[s]	A N N	low wind speed	3,15	18	7
8	V[s]	N N N	Cut-out wind speed	2,29	5	3
9	T	N	hydrogen	4,09	156	3
10	T	N	vortex	4,01	132	7
11	T	N	hub	3,95	114	23
12	T	N N	wind generator	3,91	105	11
12	V[s]	N N N	wind turbine generator	3,02	27	8
13	T	N N	pitch angle	3,89	100	6
13	V[s]	N N N	blade pitch angle	2,97	12	5
14	T	N P N	angle of attack	3,88	97	8
15	T	N N	blade element	3,87	96	4
16	T	N N	power coefficient	3,87	94	5
16	V[s]	A N N	maximum power coefficient	2,89	10	3
17	T	N N	rotor blade	3,87	94	13
17	V[s]	N N N N	wind turbine rotor blade	2,50	4	3
18	T	N	TSR	3,85	91	4
19	T	N N	turbine blades	3,85	91	16
19	V[s]	N P N N	blades of wind turbines	2,59	5	4
19	V[s]	N N N	wind turbine blades	3,57	48	12
20	T	N N N	WIND TURBINE APPLICATIONS	3,83	86	3
21	T	N	Annex	3,81	83	7
22	T	N N	farm development	3,79	79	5
22	V[s]	N P N N	development of a wind farm	2,50	4	3
22	V[s]	N N N	wind farm development	3,73	69	5
23	T	A N N	low frequency sound	3,78	78	3
24	T	N	ordinance	3,78	77	3
25	T	N N	blade design	3,78	77	4
26	T	N N	project activity	3,77	76	4
27	T	N N N	Wind Power Plant	3,76	74	9
28	T	N	HAWT	3,74	71	5
29	T	N N N	wind farm development	3,73	69	5
30	T	N	nacelle	3,73	69	14
31	T	N N	wind resource	3,71	66	10
31	V[s]	N N N	wind energy resources	2,50	4	3
32	T	N N	emission reductions	3,67	60	3
33	T	A	solar	3,67	60	11
34	T	N	EIA	3,66	59	5
35	T	A N	reactive power	3,66	58	3
36	T	A	linear	3,64	56	11
37	T	N	VAWT	3,64	56	6
38	T	A N N N	Vertical Axis Wind Turbines	3,62	53	7
39	T	N N	flow field	3,61	52	4
40	T	N N	turbine noise	3,61	52	4
40	V[s]	N N N	wind turbine noise	3,53	43	3
41	T	N	inverter	3,59	50	5
42	T	N N	project area	3,58	49	5
43	T	N	dBA	3,57	48	4
44	T	N N N	wind turbine blades	3,57	48	12
45	T	N N	power production	3,56	47	8
46	T	A N N	offshore wind energy	3,56	47	7
47	T	N N	rotor diameter	3,56	47	14
48	T	N	stator	3,56	47	6
49	T	A N N	Low Frequency Noise	3,55	46	4
50	T	N	rpm	3,55	45	13
51	T	N	transformer	3,55	45	14
52	T	N	NREL	3,54	44	8
53	T	N N	blade length	3,54	44	9
54	T	N	Max	3,53	43	8
55	T	N N N	wind turbine noise	3,53	43	3
56	T	N N	power systems	3,53	43	8
57	T	A N	synchronous generator	3,53	43	7
58	T	N	MWh	3,52	42	3
59	T	N N	Reynolds number	3,52	42	5
60	T	N N	wind velocity	3,52	42	7
61	T	A N N N	Horizontal Axis Wind Turbine	3,50	41	9
62	T	A N	sound levels	3,49	80	5
63	T	N	NACA	3,49	40	3
64	T	N N	blade pitch	3,49	40	9
64	V[s]	N N N	blade pitch angle	2,97	12	5
65	T	N N	turbine technology	3,49	40	14
65	V[s]+	N N N	wind turbine technology	3,34	28	10
66	T	N N	grid connection	3,48	39	10
66	V[s]	N N N	grid connection requirements	2,74	7	3
67	T	N	deg	3,47	38	5
68	T	N N	energy production	3,46	37	12
68	V[s]	A N N	annual energy production	3,01	13	5
69	T	N N N	wind turbine concepts	3,46	37	4
70	T	N	Ref	3,42	34	6
71	T	N N	power curve	3,42	34	10
71	V[s]	N N P N	power curve of a wind	2,37	3	3
72	T	N N	project boundary	3,42	34	3
73	T	N	cos	3,42	34	3
