#	type	pilot	freq	spec	ind
1	T	wind turbine	1854	4,68	0,28
1	V[s]	ARI-450 wind turbine	2	1,90	1,00
1	V[s]+	vertical-axis wind turbine	6	2,37	0,50
1	V[s]	WIND TURBINE APPLICATIONS	86	3,83	0,59
1	V[s]	WIND TURBINE SOUND	71	3,74	0,87
1	V[s]	wind turbine blades	48	3,57	0,29
1	V[s]	offshore wind turbine	47	3,26	0,43
1	V[s]	DFIG wind turbine	23	3,25	0,30
1	V[s]+	wind turbine noise	43	3,53	0,60
1	V[s]+	wind turbine concepts	37	3,46	0,43
1	V[s]+	wind turbine generator	27	3,02	0,44
1	V[s]	Domestic Wind Turbines	29	3,35	0,24
1	V[s]	direct-drive wind turbines	15	2,77	0,67
1	V[s]	small wind turbines	33	3,41	0,61
1	V[s]	MW wind turbine	10	2,89	0,80
1	V[s]+	wind turbine technology	28	3,34	0,25
1	V[s]+	wind turbine placement	20	2,89	0,55
1	V[s]	wind turbine syndrome	21	3,21	1,00
1	V[s]+	small-scale wind turbines	4	2,50	0,25
1	V[s]	wind turbine configuration	11	2,63	0,36
1	V[s]	modern wind turbines	17	2,82	1,00
1	V[s]	three-bladed wind turbines	8	2,80	0,63
1	V[s]	wind turbine tower	15	3,07	0,20
1	V[s]	large wind turbines	17	3,12	0,65
1	V[s]+	wind turbine design	16	2,80	0,31
1	V[s]+	smaller-scale wind turbines	2	2,20	1,00
1	V[s]	wind turbine operations	14	3,04	0,86
1	V[s]	wind turbine performance	14	3,04	0,50
1	V[s]	wind turbine component	9	2,85	0,22
1	V[s]	wind turbine project	12	2,67	0,42
1	V[s]	ARI wind turbine	4	2,20	0,75
1	V[s]	land-based wind turbines	4	2,50	0,25
1	V[s]	wind turbine foundations	9	2,85	0,56
1	V[s]	wind turbine power	10	2,89	0,30
1	V[s]	Wind turbine governor	8	2,80	0,38
1	V[s]	wind turbine flow	7	2,74	0,29
1	V[s]	solar wind turbine	3	2,37	0,67
1	V[s]	commercial wind turbines	7	2,74	0,29
1	V[s]	individual wind turbines	8	2,80	0,75
1	V[s]	optimum wind turbines	3	2,37	0,67
1	V[s]	single wind turbine	7	2,74	1,00
1	V[s]	grid-connected wind turbine	3	2,37	1,00
2	T	wind energy	414	4,51	0,21
2	V[s]+	wind energy potential	15	3,07	0,27
2	V[s]	offshore wind energy	47	3,56	0,36
2	V[s]+	wind energy development	25	3,29	0,56
2	V[s]	GE Wind Energy	7	2,44	0,86
2	V[s]+	Wind Energy Conf	5	2,59	0,40
2	V[s]+	Wind Energy Facility	14	3,04	0,43
2	V[s]	wind energy projects	12	2,97	0,42
2	V[s]	onshore wind energy	6	2,67	0,33
2	V[s]	wind energy research	6	2,67	0,33
2	V[s]	large-scale wind energy	3	2,37	0,67
2	V[s]	Technical wind energy	3	2,37	0,67
2	V[s]+	wind energy application	4	2,50	0,25
2	V[s]	wind energy resources	4	2,50	0,25
2	V[s]	wind energy generation	3	2,07	0,67
2	V[s]	wind energy calculations	2	2,20	1,00
3	T	due	185	4,16	0,95
4	T	wind speed	332	4,11	0,49
4	V[s]	average wind speed	26	3,01	0,65
4	V[s]	low wind speed	18	3,15	0,22
4	V[s]	cutoff wind speed	4	2,20	1,00
4	V[s]	relative wind speeds	10	2,89	0,80
4	V[s]	average annual wind speeds	10	2,89	1,00
4	V[s]	Cut-out wind speed	5	2,29	0,60
4	V[s]	undisturbed wind speed	5	2,59	0,60
4	V[s]	nominal wind speed	3	2,37	0,33
4	V[s]	wind speed cutoff	2	2,20	1,00
4	V[s]	variable wind speed	3	2,37	0,67
4	V[s]	annual average wind speed	3	2,37	0,67
4	V[s]	respective wind speed	2	2,20	1,00
4	V[s]	meter wind speeds	2	2,20	1,00
4	V[s]	wind speed probability	2	2,20	0,50
4	V[s]	maximum wind speed	2	2,20	1,00
4	V[s]	survival wind speed	2	2,20	1,00
5	T	hydrogen	156	4,09	0,25
6	T	Natura	144	4,05	0,74
7	T	WECS	116	3,96	0,37
8	T	hub	114	3,95	0,32
9	T	DEIS	110	3,93	0,90
10	T	wind generator	105	3,91	0,31
10	V[s]+	wind turbine generator	27	3,02	0,44
10	V[s]	wind generator systems	41	3,50	0,68
10	V[s]	Axial-flux PM wind generator	2	1,90	1,00
10	V[s]	small wind generator	5	2,59	1,00
11	T	pitch angle	100	3,89	0,61
11	V[s]	pitch angle of 90º	10	2,89	1,00
11	V[s]	Optimal pitch angles	8	2,50	1,00
11	V[s]	blade pitch angle	12	2,97	0,83
11	V[s]	pitch angles of 95º	2	2,20	1,00
12	T	angle of attack	97	3,88	0,43
12	V[s]	modified angle of attack	3	2,37	0,33
12	V[s]	optimal angle of attack	3	2,37	0,67
12	V[s]	low angles of attack	3	2,37	1,00
12	V[s]	ratio versus angle of attacks	2	2,20	1,00
13	T	blade element	96	3,87	0,36
13	V[s]	blade element theory	22	3,23	0,91
13	V[s]	ith blade element	6	2,67	1,00
