#	type	pattern	pilot	spec	freq	dFreq
1	T	N N	wind turbine	5,16	1852	37
1	V[s]+	N N N	horizontal-axis wind turbines	3,52	42	2
1	V[s]+	N N N	vertical-axis wind turbine	2,59	5	2
1	V[s]	N N N	wind turbine rotor	3,38	31	12
1	V[s]	N N N	WIND TURBINE APPLICATIONS	3,83	86	3
1	V[s]	N N N	WIND TURBINE SOUND	3,74	71	2
1	V[s]	N N N	wind turbine blades	3,57	48	12
1	V[s]	A N N	offshore wind turbine	3,55	46	7
1	V[s]	N N N	DFIG wind turbine	3,25	23	2
1	V[s]+	N N N	wind turbine noise	3,53	43	3
1	V[s]+	N N N	wind turbine concepts	3,46	37	4
1	V[s]+	N N N	wind turbine generator	3,02	27	8
1	V[s]	A N N	Domestic Wind Turbines	3,35	29	1
1	V[s]	N N N	direct-drive wind turbines	3,04	14	1
1	V[s]	A N N	small wind turbines	3,41	33	8
1	V[s]	N N N	MW wind turbine	2,89	10	5
1	V[s]+	N N N	wind turbine technology	3,34	28	10
1	V[s]+	N N N	wind turbine system	3,40	32	7
1	V[s]+	N N N	wind turbine placement	3,17	19	1
1	V[s]	N N N	wind turbine syndrome	3,21	21	2
1	V[s]+	A N N	small-scale wind turbines	2,50	4	1
1	V[s]	A N N	three-bladed wind turbines	2,80	8	2
1	V[s]	A N N	modern wind turbines	2,82	17	7
1	V[s]	N N N	wind turbine configuration	2,89	10	2
1	V[s]	N N N	wind turbine tower	3,07	15	9
1	V[s]	A N N	large wind turbines	3,12	17	10
1	V[s]+	N N N	wind turbine design	2,80	16	10
1	V[s]+	A N N	smaller-scale wind turbines	2,20	2	1
1	V[s]+	N N N	wind turbine airfoil	2,50	4	2
1	V[s]	N N N	wind turbine component	2,85	9	3
1	V[s]	N N N	ARI wind turbine	2,20	4	1
1	V[s]	A N N	land-based wind turbines	2,50	4	2
1	V[s]	N N N	wind turbine installation	2,80	8	3
1	V[s]	N N N	wind turbine foundations	2,85	9	3
1	V[s]	A N N	commercial wind turbines	2,74	7	6
